input,target
Create a deployment named nats that runs the confluentinc/cp-kafka image and expose port 9092,kubectl create deployment nats --image=confluentinc/cp-kafka --port=9092
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 3000 and 6000 in the pod",kubectl port-forward pod/security-service-pod 8000 3000
"Check to see if I can get the job named ""security-scan-job"" in namespace ""development""",kubectl auth can-i list jobs.batch/security-scan-job -n development
"Listen on port 3000 on all addresses, forwarding to 9090 in the pod",kubectl port-forward --address 0.0.0.0 pod/analytics-pod 3000:9090
Add to node 'backup-node-14' a taint with key 'cpu-type' and no value,kubectl taint nodes backup-node-14 cpu-type:NoSchedule
Import specific keys from a config map,kubectl set env --keys=SECRET_KEY --from=configmap/log-config deployment/mydeployment
Return snapshot logs from container monitoring-stack-deployment-1 of a deployment named e-commerce-pod,kubectl logs deployment/monitoring-stack-deployment -c e-commerce-pod-1
Begin streaming the logs of the mycontainer container in pod e-commerce-pod,kubectl logs -f -c mycontainer e-commerce-pod
"Listen on ports 5000 and 6000 locally, forwarding data to/from ports 8081 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/monitoring-stack-deployment 5000 8081
"Listen on a random port locally, forwarding to 8088 in the pod",kubectl port-forward pod/cdn-service-pod :8088
"Start a wordpress pod, but overload the spec with a partial set of values parsed from JSON","kubectl run nginx --image=wordpress --overrides='{ ""apiVersion"": ""v2.1.0"", ""spec"": { ... } }'"
Add a taint with key 'app' on nodes having label cluster=my-cluster,kubectl taint node -l cluster=my-cluster  app=k8s-node-1:PreferNoSchedule
Set the cluster field in the my-context context to data-cluster,kubectl config set contexts.user-b-context.cluster data-cluster
Resume an already paused deployment,kubectl rollout resume deployment/development
Get output from running the 'ash' command in cyber-sleuth from pod analytics-pod,kubectl exec analytics-pod -c cyber-sleuth -- ash
Import specific keys from a config map,kubectl set env --keys=API_KEY --from=configmap/db-config deployment/notification-handler-deployment
"Get output from running the 'dotnet' command from pod web-app-pod, using the first container by default",kubectl exec web-app-pod -- dotnet
"Update node 'edge-node-10' with a taint with key 'app' and value 'backend' and effect 'PreferNoSchedule' # If a taint with that key and effect already exists, its value is replaced as specified",kubectl taint nodes edge-node-10 app=backend:PreferNoSchedule
"Check to see if I can get the job named ""cron-job"" in namespace ""monitoring""",kubectl auth can-i list jobs.batch/cron-job -n monitoring
Rename the context 'on-prem-context' to 'user-b-context' in your kubeconfig file,kubectl config rename-context on-prem-context user-b-context
"Listen on port 3000 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/frontend-pod 3000:3000"
Create a new secret named gcp-service-account-secret from an env file,kubectl create secret generic gcp-service-account-secret --from-env-file=path/to/options.env
Return snapshot of previous terminated astro-container container logs from pod email-service-pod,kubectl logs -p -c astro-container email-service-pod
"Auto scale a deployment ""monitoring"", with the number of pods between 2 and 14, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment monitoring --min=2 --max=14
"Listen on ports 6379 and 6000 locally, forwarding data to/from ports 3000 and 6000 in the pod",kubectl port-forward pod/proxy-server-pod 6379 3000
"Get output from running the 'elasticsearch --version' command from pod log-aggregator-pod, using the first container by default",kubectl exec log-aggregator-pod -- elasticsearch --version
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 8081 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/email-server-deployment 5432 8081
View the details of daemonset revision 5,kubectl rollout history daemonset/my-deployment --revision=5
Set the cluster field in the my-context context to data-cluster,kubectl config set contexts.admin-context.cluster data-cluster
"Update pod 'security' with the annotation 'team' and the value 'frontend-team', overwriting any existing value",kubectl annotate --overwrite pods security team='frontend-team'
"Delete pods and services with same names ""payment"" and ""monitoring""","kubectl delete pod,service payment monitoring"
Create a job with a command,kubectl create job audit-job --image=centos -- sleep 3600
"Create a role binding for jane.doe, bob.smith, and developers using the reader cluster role",kubectl create rolebinding reader --clusterrole=reader --user=jane.doe --user=bob.smith --group=developers
Add a taint with key 'zone' on nodes having label feature=feature-xyz,kubectl taint node -l feature=feature-xyz  zone=backup-node-14:PreferNoSchedule
Set deployment scheduler-app-deployment's service account to metrics-server,kubectl set serviceaccount deployment scheduler-app-deployment metrics-server
"Auto scale a deployment ""media-stream"", with the number of pods between 1 and 10, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment media-stream --min=1 --max=10
Add a taint with key 'app' on nodes having label feature=feature-xyz,kubectl taint node -l feature=feature-xyz  app=web-node-8:PreferNoSchedule
Get output from the first pod of a replica set named hazelcast,kubectl attach rs/hazelcast
Return snapshot logs from container database-deployment-1 of a deployment named mypod,kubectl logs deployment/database-deployment -c mypod-1
"Listen on ports 8081 and 6000 locally, forwarding data to/from ports 6379 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/log-aggregator-deployment 8081 6379
"Listen on port 8888 on all addresses, forwarding to 3000 in the pod",kubectl port-forward --address 0.0.0.0 pod/analytics-pod 8888:3000
Create a deployment with a command,kubectl create deployment ingress --image=node -- node
Embed certificate authority data for the staging-cluster cluster entry,kubectl config set-cluster staging-cluster --embed-certs --certificate-authority=~/.kube/on-prem-cluster/kubernetes.ca.crt
Remove from node 'web-node-8' the taint with key 'hardware' and effect 'NoExecute' if one exists,kubectl taint nodes web-node-8 hardware:NoExecute-
"Listen on port 8088 on localhost and selected IP, forwarding to 8080 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/security-service-pod 8088:8080"
Create a copy of e-commerce-pod changing all container images to ethereum/client-go,kubectl debug e-commerce-pod --copy-to=my-debugger --set-image=*=ethereum/client-go
Import specific keys from a config map,kubectl set env --keys=secret_key --from=configmap/app-config-dev deployment/log-aggregator-deployment
"Print result (in yaml format) of updating nginx container image from local file, without hitting the server",kubectl set image -f path/to/file.yaml mongo=mongo:5.0.2 --local -o yaml
Update pod 'security' by removing a label named 'bar' if it exists # Does not require the --overwrite flag,kubectl label pods security tier-
"If the deployment named frontend-rs's current size is 3, scale mysql to 1",kubectl scale --current-replicas=3 --replicas=1 deployment/frontend-rs
Begin streaming the logs of the time-machine container in pod cdn-service-pod,kubectl logs -f -c time-machine cdn-service-pod
"Get output from running 'node' command from the first pod of the service order-service, using the first container by default",kubectl exec svc/order-service -- node
Set custom TLS server name to use for validation for the cluster-beta cluster entry,kubectl config set-cluster cluster-beta --tls-server-name=cloud-cluster
List one or more resources by their type and names,kubectl get rc/web service/media-stream-rc pods/proxy-server-pod
"List deployments in YAML output format, in the ""v1.0.0"" version of the ""custom-apps"" API group",kubectl get deployments.v1.0.0.custom-apps -o yaml
Set custom TLS server name to use for validation for the prod-cluster cluster entry,kubectl config set-cluster prod-cluster --tls-server-name=cluster-gamma
"Listen on a random port locally, forwarding to 8081 in the pod",kubectl port-forward pod/cdn-service-pod :8081
"Listen on port 5432 locally, forwarding to 8081 in the pod",kubectl port-forward pod/frontend-pod 5432:8081
"Get output from running 'mongo' command from the first pod of the deployment proxy-service-deployment, using the first container by default",kubectl exec deploy/proxy-service-deployment -- mongo
Create a new config map named global-config with key1=config1 and key2=config2,kubectl create configmap global-config --from-literal=conf=config1 --from-literal=data=config2
Return snapshot of previous terminated lunar-launcher container logs from pod payment-gateway-pod,kubectl logs -p -c lunar-launcher payment-gateway-pod
"Update pod 'vpn' with the annotation 'scaling-policy' and the value 'auto-horizontal-scaling' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods vpn scaling-policy=auto-horizontal-scaling
Edit the last-applied-configuration annotations by type/name in YAML,kubectl apply edit-last-applied deployment/confluentinc/cp-kafka
